"metabolite","t_score","p_value","fdr_p","neg_log10_p","significant","log2FC"
"Octopine",-3.02366304412293,0.0232870292390333,0.220168276441769,1.63288591152487,FALSE,-0.72594
"Oleandomycin",1.28201391826899,0.24714321721896,0.555166235905039,0.607051304138262,FALSE,2.4542
"Pelargonidin 3-O-rutinoside",0.0401462781635985,0.969279034512076,0.988702928924197,0.0135511809428624,FALSE,1.3701
"Pinoresinol-4-O-glucoside",1.54125372564483,0.174189790861191,0.492407669972062,0.758977302270819,FALSE,0.79807
"Posthumulone",-0.363590501723805,0.728631336548961,0.832721527484527,0.137492154810214,FALSE,-0.0927
"Purine",-0.549682960937154,0.602380759153061,0.783094986898979,0.220128908532298,FALSE,-1.4161
"Quercetin-3,4'-O-di-beta-glucopyranoside",-1.77256762711843,0.126673075679734,0.441959068104087,0.897315684456045,FALSE,-0.70517
"Quercetin-3-O-beta-galactoside",-0.983036595789208,0.363552501163675,0.609830001951971,0.439432863156422,FALSE,-0.36316
"Ribostamycin",-0.313863072164621,0.764250729394267,0.85464597695703,0.116764138114789,FALSE,-0.068802
"S-Adenosylmethionine",3.21690281758815,0.0182080350964484,0.204876162754849,1.73973691817061,FALSE,2.6685
"Sanguinarine",-1.08413081240663,0.319936503906551,0.59849036989066,0.494936205240274,FALSE,-0.71229
"Scopularide D",-1.0931204025439,0.316274831081029,0.59849036989066,0.499935367545367,FALSE,-0.57853
"Scutellarein-7-glucuronide",-0.647557461637501,0.541240688498908,0.740645152682716,0.266609562173595,FALSE,-0.11968
"Sorbitol 6-phosphate",-0.166609294969008,0.873150416998394,0.94591295174826,0.0589109342494191,FALSE,-0.013971
"Suffruticoside C",-1.74422894019864,0.13173779914641,0.441959068104087,0.880289596295701,FALSE,-0.97635
"Taxinine A",-1.10631449190172,0.310963619331443,0.59849036989066,0.507290417557757,FALSE,-0.45869
"Taxinine M",-0.7389395876548,0.487832206846849,0.68560202043341,0.311729530807581,FALSE,-0.082104
"Taxuspine F",1.07669849246362,0.32299027317531,0.59849036989066,0.490810556213466,FALSE,2.1579
"Thiamine monophosphate",-3.51631473455039,0.0125746458514333,0.186823309792723,1.90050423743976,FALSE,-0.83968
"Thifensulfuron-methyl",-1.50430222747744,0.183203351954196,0.492407669972062,0.737066584587964,FALSE,-0.74241
"trans-Cinnamate",1.37238561828981,0.219035569049827,0.532067435565091,0.659485354622219,FALSE,0.33138
"TRH",-0.338334323287062,0.746636356149523,0.844023706951635,0.126890866685766,FALSE,-0.046643
"Trp",12.7114221948708,1.45396581691305e-05,0.000756062224794787,4.83744580372495,TRUE,4.2656
"Vincristine",1.69761064576952,0.14050232744093,0.442795213753233,0.852316481549786,FALSE,2.549
"Zearalanone",-1.62481398356959,0.155327766345763,0.475120226469393,0.808750902977996,FALSE,-0.53988
"Zeaxanthin",-1.56194065370566,0.169327561119141,0.492407669972062,0.771272346865859,FALSE,-0.49413
