"metabolite","VIP","log2FC","p_value","neg_log10_p","vip_norm","fc_norm","p_norm","combined_score"
"Quercetin-3-O-beta-galactoside",1.14069779105815,-0.36316,0.363552501163675,0.439432863156422,0.659997355305727,0.0554569748797435,0.0802526536247983,0.795706983810269
"Gibberellate",0.843617801655598,-1.1024,0.181558391553635,0.740983673376176,0.488109578493209,0.168343895548599,0.135324212335756,0.791777686377564
"(-)-Gallocatechin-3-O-gallate",1.14385167588156,-0.34457,0.384403667096769,0.415212477943412,0.661822164346921,0.0526181568298084,0.0758293381467591,0.790269659323488
"GlcNAcThrNAc",1.15414355390731,-0.30509,0.420926466925033,0.375793765917184,0.667776951260132,0.0465892952584561,0.0686303857974658,0.782996632316054
"Catechin-(4alpha->6)-gallocatechin",1.215229159115,0.45915,0.961960646952732,0.0168426942416629,0.703120526219566,0.0701152935786821,0.00307594406430047,0.776311763862549
"Cyanidin 3-(6''-p-coumarylsophoroside)-5-glucoside",1.12540480367767,-0.30035,0.370415193468237,0.431311207994183,0.651148972057368,0.0458654653737497,0.0787694136733902,0.775783851104508
"Pinoresinol-4-O-glucoside",0.889221736437643,0.79807,0.174189790861191,0.758977302270819,0.5144955999124,0.121870657402459,0.138610349054714,0.774976606369572
"Kutkoside",1.1522727193482,-0.23287,0.45113983460149,0.345688824013305,0.666694503419078,0.0355608154539207,0.0631323867228118,0.76538770559581
"Blasticidin S",1.07576483819691,-0.35346,0.338158238513491,0.470880027439101,0.622427740025898,0.0539757196304497,0.0859957798091538,0.762399239465502
"Glutathione (oxidised form)",1.0037175877641,-0.39823,0.22810323301244,0.641868559223517,0.580741856950247,0.0608123997862106,0.117223037862958,0.758777294599415
"Cytosine arabinoside",0.978317744821569,-0.48052,0.225244395326854,0.647346006603741,0.566045739101448,0.0733786363289303,0.11822337198498,0.757647747415358
"1-O-p-Coumaroylglycerol",0.924732789582305,-0.3936,0.184652876239523,0.733643923186438,0.535041971916729,0.0601053676414446,0.133983769963198,0.729131109521372
"trans-Cinnamate",0.95438001841347,0.33138,0.219035569049827,0.659485354622219,0.552195588566203,0.0506039551042223,0.120440354312519,0.723239897982944
"Cyclo(Pro-Phe)",0.992811944292155,-0.51515,0.478474130635931,0.320141537982803,0.574431950938491,0.0786668702756356,0.0584667422779862,0.711565563492113
"N-Glycolylneuraminate",1.19297250026429,0.097002,0.970182189696994,0.0131467022798517,0.6902430260661,0.0148128579063908,0.00240095321227199,0.707456837184763
"Glycyrrhetinate",1.11586890778949,-0.091849,0.727471810322023,0.138183831013933,0.645631589525371,0.0140259601435443,0.02523620797783,0.684893757646745
"Posthumulone",1.10903775491046,-0.0927,0.728631336548961,0.137492154810214,0.64167914667049,0.0141559135679927,0.0251098886798176,0.6809449489183
"D-Ala",0.856467397239218,-0.83663,0.507577246442417,0.294497854595432,0.49554423749616,0.127759028785218,0.0537834929967003,0.677086759278078
"Diflunisal",1.07298378353665,-0.076177,0.696607913315216,0.157011596358386,0.620818647122307,0.0116327403222112,0.0286746811950221,0.66112606863954
"7-epi-Paclitaxel",1.03862051598188,-0.17118,0.657396249155823,0.182172778160655,0.600936373409147,0.0261403374818661,0.0332698122770807,0.660346523168094
"Argininosuccinate",0.844540108286829,0.35386,0.230221486542587,0.637854146164897,0.488643216711994,0.0540368023211422,0.116489894469025,0.659169913502161
"Gluconapoleiferin",0.855915901782171,0.33465,0.250892433534008,0.60051243603086,0.495225147246343,0.0511033061006337,0.109670260389728,0.655998713736705
"62FTA",0.739312264645713,-0.72552,0.257744220785704,0.588811063809787,0.427759344531233,0.110791784378102,0.107533264615112,0.646084393524447
"Fomesafen",0.887348709948185,-0.35501,0.420600087749945,0.376130641042677,0.513411883840404,0.0542124150568833,0.0686919085578867,0.636316207455174
"Glabrol",0.886874006050874,-0.35956,0.428673357324002,0.367873507687715,0.513137224487826,0.0549072306635107,0.0671839265232484,0.635228381674586
"Acetylendicarboxylate",1.03570918538088,-0.059478,0.714442340719677,0.146032815323287,0.599251904032475,0.00908269069252501,0.0266696506533745,0.635004245378374
"Gancaonin M",0.672059027846072,-0.97148,0.300972666269102,0.521472944364721,0.388847234091939,0.148351530884935,0.0952354525289764,0.632434217505851
"Brevifoliol",0.941335643774406,0.18345,0.483938766228738,0.315209587056742,0.544648232175329,0.0280140490188593,0.0575660309690489,0.630228312163237
"Sanguinarine",0.740856647202479,-0.71229,0.319936503906551,0.494936205240274,0.428652910216234,0.108771474383447,0.0903891064501039,0.627813491049784
