"","A172_R_1","A172_R_2","A172_R_3","A172_R_4","A172_S_1","A172_S_2","A172_S_3","A172_S_4"
"Naringenin-7-O-neohesperidoside",0.0957133113381208,0.0870001248474419,0.231860545789301,-0.617447851593096,-0.196591805083299,0.151512525593619,0.0526482365999331,0.19530491250798
"N-Glycolylneuraminate",0.761968435678515,-0.300347783310962,-0.225902676253883,-0.211526104930547,-0.514417249871063,0.33723142125123,0.081342853731923,0.0716511037047871
"nPFOA",-0.242943628961495,0.0256142933960311,0.225713456201123,-0.083275802542882,-0.312103948646296,-0.0432156199843243,0.0244433316452912,0.405767918892552
"Octopine",-0.272681161956283,-0.235886360531171,-0.539258518171809,-0.0590265446412488,0.0456055174224572,0.233103619373748,0.105073751231939,0.723069697272368
"Oleandomycin",-0.856816692313507,1.37394305875408,0.620272302762466,0.974921604732864,0.458421952394721,0.776456227383014,-1.71427801851855,-1.63292043519509
"Pelargonidin 3-O-rutinoside",1.29262369314714,-1.44030429645622,1.19239151400189,-0.979428093633143,1.10826093814046,-0.110156553222565,-0.494517669782536,-0.568869532195022
"Pinoresinol-4-O-glucoside",-0.0948427671902111,0.253300302042316,0.173813960603479,0.766596279547081,-0.345815681638736,-0.998738617113298,-0.258239776214905,0.503926299964273
"Posthumulone",0.616805789406102,0.0742619101730346,-0.236877905683218,-0.701035929321743,-0.461757763628774,0.486629871006871,0.0607813596395442,0.161192668408183
"Purine",-0.0381477620822137,0.0325440260628951,-0.679329132559377,0.168764289189372,-0.364940268201409,-0.350581152307612,-0.181476254058684,1.41316625395703
"Quercetin-3,4'-O-di-beta-glucopyranoside",0.640739308611734,-0.777544669130405,-0.33897260054784,-0.733904990957113,0.355273560274183,0.527661432265455,0.196520891474801,0.130227068009184
"Quercetin-3-O-beta-galactoside",0.711910004066135,-0.175138252619363,-0.561577967941129,-0.695231593738593,-0.368627759941844,0.3752110608502,0.330762556045467,0.382691953279127
"Ribostamycin",0.305874586241782,0.00903703502634605,0.10383697185617,-0.571586612858468,-0.409249179820581,0.272264077146998,0.0804239443935646,0.20939917801419
"S-Adenosylmethionine",0.736431054619553,0.89279665533179,0.543680481502722,1.00433541882759,0.627717947841334,-0.997837897187952,-1.38701533321223,-1.42010832772281
"Sanguinarine",-0.0587333592828531,0.265735627577606,-0.957332800612656,-0.0430352129097137,-0.311558577149061,0.822596740624364,-0.0989526414234998,0.381280223175813
"Scopularide D",-2.01639582193531,0.0854254958790965,0.09042414857506,0.55625235478786,-0.0215864496273231,0.447882244152751,0.374677275121766,0.483320753046097
"Scutellarein-7-glucuronide",-0.500215307822499,0.011703751444866,-0.011598839247427,0.23375337237952,-0.0445957693802742,-0.185849716258179,0.0509465193011083,0.445855989582885
"Sorbitol 6-phosphate",-0.587966084265652,-0.0965812651475241,0.130642826603927,0.466464991821026,-0.0143420631262603,-0.245199953763908,-0.0713644292083322,0.418345977086722
"Suffruticoside C",-0.228037056870992,-0.120316102921845,-0.540262310314078,-0.131385712378783,-0.314673497860054,0.065288887770178,0.273063516362849,0.996322276212725
"Taxinine A",0.68431055315752,-0.128881626684897,-0.510921277287718,-0.892351665567226,-0.332299820029955,0.402935628373342,0.34197045385896,0.435237754179973
"Taxinine M",-0.276331179518082,-0.0473682028275981,0.298351628923847,-0.211567551498892,-0.100865757195385,-0.0120876020250245,0.0128454448736662,0.33702321926747
"Taxuspine F",0.993901052977186,1.10070368935417,0.873043075371722,-1.40160571723999,0.803776704085804,-0.499213002077791,-0.904628828345442,-0.965976974125662
"Thiamine monophosphate",-0.348706637124736,-0.19762356793636,-0.643449112320458,-0.0548928035778515,0.310151527277696,0.184633825974443,0.0909100431528537,0.658976724554412
"Thifensulfuron-methyl",0.379203286402438,-0.0126822753614024,-0.416527748500244,-0.980487812516944,-0.281669200263434,0.376584184284013,0.443821899344766,0.49175766661081
"trans-Cinnamate",0.0517821442376197,0.119585544611597,-0.0363870397160735,0.503793248669149,-0.352300480152698,-0.49590994251233,-0.203383342215583,0.412819867078319
"TRH",0.635158482011949,-0.614589027358078,-0.0107105413748265,-0.213783800995805,-0.352134066249217,0.112831452860854,0.377708345684547,0.0655191554205761
"Trp",0.776393533047041,0.746988044341951,0.712054839360358,0.877817885415049,-0.850101839569545,-0.884288495342948,-0.946816769199053,-0.432047198052853
"Vincristine",-0.61626412015254,1.10609570233368,0.914825037678128,0.434400592310197,0.108548286942736,-1.39077349336825,0.21245883618225,-0.76929084192621
"Zearalanone",0.261414885161355,-0.343224193620816,-0.142709551714315,-0.600988171449733,-0.273961337724014,0.579125987230842,0.288457139578099,0.231885242538581
"Zeaxanthin",0.623845496392122,-0.34832751639995,-0.786361683994483,-0.444197434820784,0.128320975281304,0.335328266717738,0.215596922115543,0.275794974708511
