category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,1/22,97/9399,0.010309278350515464,4.404404873477038,1.6324354067377034,0.2042592335322615,0.34403137328446226,0.2989746328420664,2902,1,all_25,
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagosome formation,1/22,98/9399,0.01020408163265306,4.359461966604823,1.619254255557047,0.2061412263147051,0.34403137328446226,0.2989746328420664,123745,1,all_25,
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,1/22,99/9399,0.010101010101010102,4.315426997245179,1.6062483529428262,0.20801896989293067,0.34403137328446226,0.2989746328420664,123745,1,all_25,
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,1/22,103/9399,0.009708737864077669,4.14783759929391,1.5558938926703965,0.21548763464527387,0.3461408726935985,0.30080785754278455,6505,1,all_25,Protein sindirimi ve emilimi
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,1/22,104/9399,0.009615384615384616,4.107954545454546,1.5437029491981513,0.21734426890063163,0.3461408726935985,0.30080785754278455,123745,1,all_25,Gliserofosfolipit metabolizması
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,1/22,107/9399,0.009345794392523364,3.9927782497875954,1.5080263495342938,0.22288903982386388,0.34851740772458717,0.302873145023815,5207,1,all_25,
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,1/22,116/9399,0.008620689655172414,3.682993730407524,1.4083207558029238,0.23929926531970247,0.36749530031240024,0.3193655608590015,8277,1,all_25,Karbon metabolizması
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,1/22,122/9399,0.00819672131147541,3.5018628912071534,1.3472144901577183,0.25005507511541725,0.37727607824431375,0.32786538011439753,5207,1,all_25,
Organismal Systems,Immune system,hsa04611,Platelet activation,1/22,126/9399,0.007936507936507936,3.3906926406926403,1.3085670789187125,0.25714479863332484,0.3799532825450332,0.3301919591272627,123745,1,all_25,Trombosit aktivasyonu
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,1/22,128/9399,0.0078125,3.3377130681818183,1.289822657538869,0.26066562407159255,0.3799532825450332,0.3301919591272627,6241,1,all_25,Pürin metabolizması
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,1/22,133/9399,0.007518796992481203,3.2122351332877646,1.2445377102445256,0.26939813456065476,0.38175321690533437,0.3317561615701192,6531,1,all_25,
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,1/22,134/9399,0.007462686567164179,3.188263229308005,1.2357378605886018,0.27113278176977085,0.38175321690533437,0.3317561615701192,123745,1,all_25,Vasküler düz kas kasılması
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,1/22,138/9399,0.007246376811594203,3.095849802371541,1.2013453172138637,0.27803213797948345,0.38175321690533437,0.3317561615701192,50617,1,all_25,Oksidatif fosforilasyon
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,1/22,144/9399,0.006944444444444444,2.9668560606060606,1.1520271534451534,0.28826440286634647,0.38175321690533437,0.3317561615701192,1571,1,all_25,
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,1/22,144/9399,0.006944444444444444,2.9668560606060606,1.1520271534451534,0.28826440286634647,0.38175321690533437,0.3317561615701192,2902,1,all_25,
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,1/22,149/9399,0.006711409395973154,2.8672971323978036,1.1128401877621528,0.29668540270497124,0.38175321690533437,0.3317561615701192,123745,1,all_25,
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,1/22,154/9399,0.006493506493506494,2.774203069657615,1.0752447524513442,0.3050112459026043,0.38175321690533437,0.3317561615701192,123745,1,all_25,
