ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
BP,GO:0046189,phenol-containing compound biosynthetic process,1/17,48/18986,0.020833333333333332,23.267156862745097,4.624085698477185,0.04213806034521006,0.09910247525632736,0.056266220928789266,SLC6A3,1,Rpost_18,
BP,GO:0070266,necroptotic process,1/17,48/18986,0.020833333333333332,23.267156862745097,4.624085698477185,0.04213806034521006,0.09910247525632736,0.056266220928789266,TRPM7,1,Rpost_18,
CC,GO:0043679,axon terminus,3/18,117/19960,0.02564102564102564,28.43304843304843,8.940969648362488,1.5020871375098695e-4,0.006736398910220012,0.0034589981567240114,GRIN1/SLC1A1/SLC6A3,3,Rpost_18,Akson terminali
CC,GO:0044306,neuron projection terminus,3/18,133/19960,0.022556390977443608,25.0125313283208,8.347502299115886,2.1934675095248602e-4,0.006736398910220012,0.0034589981567240114,GRIN1/SLC1A1/SLC6A3,3,Rpost_18,Nöron projeksiyon terminali
CC,GO:0043083,synaptic cleft,2/18,26/19960,0.07692307692307693,85.29914529914531,12.922123996566492,2.4645361866658584e-4,0.006736398910220012,0.0034589981567240114,GRIN1/SLC1A1,2,Rpost_18,Sinaptik aralık
CC,GO:0031901,early endosome membrane,3/18,200/19960,0.015,16.633333333333333,6.675662951063384,7.237200341795853e-4,0.0148362607006815,0.007618105622943003,PLA2G4E/SLC1A1/TPCN1,3,Rpost_18,Erken endozom membranı
CC,GO:0150034,distal axon,3/18,281/19960,0.010676156583629894,11.83867141162515,5.4972942407929875,0.0019259658111005014,0.03158583930204822,0.01621865946189896,GRIN1/SLC1A1/SLC6A3,3,Rpost_18,Distal akson
CC,GO:0055038,recycling endosome membrane,2/18,109/19960,0.01834862385321101,20.34658511722732,6.08481891896805,0.004270110723572684,0.05835817988882668,0.02996568928822936,SLC1A1/TPCN1,2,Rpost_18,Geri dönüşüm endozom membranı
CC,GO:0005769,early endosome,3/18,438/19960,0.00684931506849315,7.595129375951292,4.1929482874048105,0.006701373464716246,0.0628328306637371,0.03226332768356204,PLA2G4E/SLC1A1/TPCN1,3,Rpost_18,Erken endozom
CC,GO:0005765,lysosomal membrane,3/18,447/19960,0.006711409395973154,7.442207307979119,4.138545374563636,0.007087935812554649,0.0628328306637371,0.03226332768356204,ATP6V0A4/PLA2G4E/TPCN1,3,Rpost_18,Lizozomal membran
CC,GO:0098852,lytic vacuole membrane,3/18,447/19960,0.006711409395973154,7.442207307979119,4.138545374563636,0.007087935812554649,0.0628328306637371,0.03226332768356204,ATP6V0A4/PLA2G4E/TPCN1,3,Rpost_18,Litik vakuol membranı
