category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
Metabolism,Amino acid metabolism,hsa00250,"Alanine, aspartate and glutamate metabolism",1/15,37/9399,0.02702702702702703,16.935135135135134,3.8827698151637424,0.05749076657886365,0.2297743225109631,0.19879537636132355,435,1,Rpost_18,"Alanin, aspartat ve glutamat metabolizması"
Cellular Processes,Transport and catabolism,hsa04142,Lysosome biogenesis,2/15,250/9399,0.008,5.0128,2.570988035981773,0.058928050236469603,0.2297743225109631,0.19879537636132355,50617/53373,2,Rpost_18,Lizozom biyogenezi
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,2/15,254/9399,0.007874015748031496,4.933858267716535,2.5410491326600204,0.060610929886673715,0.2297743225109631,0.19879537636132355,2902/53373,2,Rpost_18,
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,1/15,41/9399,0.024390243902439025,15.282926829268293,3.664265803476859,0.06351766347523358,0.2297743225109631,0.19879537636132355,2902,1,Rpost_18,
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,1/15,51/9399,0.0196078431372549,12.28627450980392,3.2310650057734405,0.07842790678949352,0.2297743225109631,0.19879537636132355,123745,1,Rpost_18,Eter lipit metabolizması
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,1/15,51/9399,0.0196078431372549,12.28627450980392,3.2310650057734405,0.07842790678949352,0.2297743225109631,0.19879537636132355,50617,1,Rpost_18,
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,1/15,52/9399,0.019230769230769232,12.05,3.1944579728554645,0.07990668100838028,0.2297743225109631,0.19879537636132355,123745,1,Rpost_18,
Metabolism,Glycan biosynthesis and metabolism,hsa00510,N-Glycan biosynthesis,1/15,57/9399,0.017543859649122806,10.99298245614035,3.025394211566206,0.08726738989033433,0.2297743225109631,0.19879537636132355,207063,1,Rpost_18,N-Glukan biyosentezi
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,1/15,59/9399,0.01694915254237288,10.620338983050848,2.9635502338004756,0.09019625508782647,0.2297743225109631,0.19879537636132355,6241,1,Rpost_18,Pirimidin metabolizması
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,1/15,59/9399,0.01694915254237288,10.620338983050848,2.9635502338004756,0.09019625508782647,0.2297743225109631,0.19879537636132355,6241,1,Rpost_18,Glutatyon metabolizması
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,1/15,60/9399,0.016666666666666666,10.443333333333333,2.9337297682351684,0.0916573960057796,0.2297743225109631,0.19879537636132355,123745,1,Rpost_18,
Organismal Systems,Nervous system,hsa04730,Long-term depression,1/15,60/9399,0.016666666666666666,10.443333333333333,2.9337297682351684,0.0916573960057796,0.2297743225109631,0.19879537636132355,123745,1,Rpost_18,
Organismal Systems,Digestive system,hsa04978,Mineral absorption,1/15,61/9399,0.01639344262295082,10.272131147540984,2.9046037839832715,0.09311634654223044,0.2297743225109631,0.19879537636132355,54822,1,Rpost_18,Mineral emilimi
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,1/15,66/9399,0.015151515151515152,9.493939393939394,2.7684701359904142,0.10037835009261098,0.2297743225109631,0.19879537636132355,3290,1,Rpost_18,Steroid hormon biyosentezi
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,1/15,67/9399,0.014925373134328358,9.35223880597015,2.742977781201743,0.10182422223968202,0.2297743225109631,0.19879537636132355,2902,1,Rpost_18,
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,1/15,69/9399,0.014492753623188406,9.081159420289854,2.6935605837031464,0.1047094622015664,0.2297743225109631,0.19879537636132355,123745,1,Rpost_18,
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,1/15,70/9399,0.014285714285714285,8.951428571428572,2.669598722189413,0.10614883605654757,0.2297743225109631,0.19879537636132355,3290,1,Rpost_18,Kimyasal karsinogenez - DNA eklentileri
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,1/15,71/9399,0.014084507042253521,8.825352112676057,2.6461115248666554,0.10758604984786024,0.2297743225109631,0.19879537636132355,50617,1,Rpost_18,
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,1/15,75/9399,0.013333333333333334,8.354666666666667,2.556594461227239,0.11331336452595442,0.2297743225109631,0.19879537636132355,435,1,Rpost_18,Amino asit biyosentezi
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,1/15,75/9399,0.013333333333333334,8.354666666666667,2.556594461227239,0.11331336452595442,0.2297743225109631,0.19879537636132355,6241,1,Rpost_18,p53 sinyal yolağı
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,1/15,79/9399,0.012658227848101266,7.931645569620254,2.47349643042341,0.11900635831970241,0.23479632857671018,0.2031402986965048,3290,1,Rpost_18,Ksenobiyotiklerin sitokrom P450 ile metabolizması
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,1/15,82/9399,0.012195121951219513,7.6414634146341465,2.4149159135634894,0.1232536955554947,0.2367768361987135,0.204853787626861,6241,1,Rpost_18,İlaç metabolizması - diğer enzimler
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,1/15,85/9399,0.011764705882352941,7.371764705882353,2.359230783699819,0.12748191502479345,0.23861999478999799,0.20644844538428087,6241,1,Rpost_18,Nükleotit metabolizması
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,1/15,93/9399,0.010752688172043012,6.737634408602151,2.2231162482804687,0.13866430919598305,0.24382525401637126,0.2109519140732844,123745,1,Rpost_18,
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,1/15,95/9399,0.010526315789473684,6.59578947368421,2.1915817187862783,0.14143893112373207,0.24382525401637126,0.2109519140732844,50617,1,Rpost_18,
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,1/15,97/9399,0.010309278350515464,6.459793814432989,2.160942903180035,0.14420520922511304,0.24382525401637126,0.2109519140732844,2902,1,Rpost_18,
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagosome formation,1/15,98/9399,0.01020408163265306,6.393877551020408,2.1459453071422114,0.14558522662584683,0.24382525401637126,0.2109519140732844,123745,1,Rpost_18,
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,1/15,99/9399,0.010101010101010102,6.32929292929293,2.13115513883383,0.14696316680438815,0.24382525401637126,0.2109519140732844,123745,1,Rpost_18,
