ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet
R-HSA-8849932,Synaptic adhesion-like molecules,1/23,21/11146,0.047619047619047616,23.076604554865423,4.60452570519654,0.04248865556507142,0.11431255070490266,0.07093077938475954,GRIN1,1,all_25
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",1/23,22/11146,0.045454545454545456,22.027667984189723,4.48915858071738,0.044468229580532426,0.11431255070490266,0.07093077938475954,GRIN1,1,all_25
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,1/23,22/11146,0.045454545454545456,22.027667984189723,4.48915858071738,0.044468229580532426,0.11431255070490266,0.07093077938475954,CYB5A,1,all_25
R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,1/23,22/11146,0.045454545454545456,22.027667984189723,4.48915858071738,0.044468229580532426,0.11431255070490266,0.07093077938475954,GRIN1,1,all_25
R-HSA-1482801,Acyl chain remodelling of PS,1/23,23/11146,0.043478260869565216,21.069943289224952,4.381189927347669,0.046443888580860015,0.11431255070490266,0.07093077938475954,PLA2G4E,1,all_25
R-HSA-210500,Glutamate Neurotransmitter Release Cycle,1/23,24/11146,0.041666666666666664,20.192028985507246,4.2798451122238825,0.04841563995752485,0.11431255070490266,0.07093077938475954,SLC1A1,1,all_25
R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,1/23,24/11146,0.041666666666666664,20.192028985507246,4.2798451122238825,0.04841563995752485,0.11431255070490266,0.07093077938475954,TECR,1,all_25
R-HSA-9620244,Long-term potentiation,1/23,24/11146,0.041666666666666664,20.192028985507246,4.2798451122238825,0.04841563995752485,0.11431255070490266,0.07093077938475954,GRIN1,1,all_25
R-HSA-211981,Xenobiotics,1/23,25/11146,0.04,19.38434782608696,4.184458816704093,0.0503834910887041,0.11431255070490266,0.07093077938475954,CYP2E1,1,all_25
R-HSA-5619115,Disorders of transmembrane transporters,2/23,176/11146,0.011363636363636364,5.506916996047431,2.740473240033986,0.05049596742220836,0.11431255070490266,0.07093077938475954,SLC1A1/SLC6A3,2,all_25
